"capability";"count"
"BlueprintAssignments";"0"
"Blueprints";"0"
"ManagementGroups";"2"
"PolicyAssignments";"0"
"PolicyAssignments_ManagementGroups";"0"
"PolicyAssignments_ResourceGroups";"0"
"PolicyAssignments_Subscriptions";"0"
"PolicyDefinitionsBuiltIn";"2272"
"PolicyDefinitionsCustom";"9"
"PolicySetDefinitionsBuiltIn";"124"
"PolicySetDefinitionsCustom";"0"
"Resources";"0"
"ResourceTypes";"0"
"RoleDefinitionsCustom";"0"
"Subscriptions";"0"
"SubscriptionsOutOfScope";"0"
"TotalRoleAssignments";"3"
"TotalRoleAssignments_ManagementGroups";"2"
"TotalRoleAssignments_RgRes";"0"
"TotalRoleAssignments_Subscriptions";"0"
"TotalRoleAssignments_Tenant";"1"
